tech,cell_type,cell_name,from_pin,to_pin,pol,slew,cap,voltage,temp,delay,wp_over_wn,wp_sum,wn_sum,is_inv,stack_pu,stack_pd,log_slew,log_cap,req_p,req_n,rc_p,rc_n,rc_eff,req_eff,inv_v,inv_temp,pn_balance
ASAP7,AND3X4,AND3x4_ASAP7_6t_L,B,Y,fall,10.0,0.011519999999999999,0.7,25.0,35.487,0.7,0.37799999999999995,0.54,0,1,1,2.3978952727983707,0.011454150045115854,2.645502645502646,1.8518518518518516,0.03047619047619048,0.02133333333333333,0.02133333333333333,1.8518518518518516,1.4285714285714286,0.04,-0.17647058823529424
ASAP7,OR3X2,OR3x2_ASAP7_6t_L,B,Y,rise,80.0,0.046079999999999996,0.7,25.0,136.065,1.0,0.27,0.27,0,1,1,4.394449154672438,0.04504984455370874,3.7037037037037033,3.7037037037037033,0.17066666666666663,0.17066666666666663,0.17066666666666663,3.7037037037037033,1.4285714285714286,0.04,0.0
ASAP7,NOR2X2,NOR2x2_ASAP7_6t_L,B,Y,fall,5.0,0.09215999999999999,0.7,25.0,194.379,1.9999999999999998,0.43199999999999994,0.216,0,1,1,1.791759469228055,0.08815738673620517,2.3148148148148153,4.62962962962963,0.21333333333333337,0.42666666666666664,0.42666666666666664,4.62962962962963,1.4285714285714286,0.04,0.3333333333333333
ASAP7,NOR3X1,NOR3x1_ASAP7_6t_L,B,Y,fall,40.0,0.046079999999999996,0.7,25.0,207.172,3.0,0.486,0.162,0,1,1,3.7135720667043075,0.04504984455370874,2.05761316872428,6.172839506172839,0.09481481481481481,0.2844444444444444,0.2844444444444444,6.172839506172839,1.4285714285714286,0.04,0.4999999999999999
ASAP7,NOR3X2,NOR3x2_ASAP7_6t_L,B,Y,rise,20.0,0.046079999999999996,0.7,25.0,117.799,3.0000000000000004,0.9720000000000002,0.324,0,1,1,3.044522437723423,0.04504984455370874,1.0288065843621397,3.0864197530864197,0.04740740740740739,0.1422222222222222,0.04740740740740739,1.0288065843621397,1.4285714285714286,0.04,0.5
ASAP7,INVX1,INVx1_ASAP7_6t_L,A,Y,rise,20.0,0.0014399999999999999,0.7,25.0,15.3247,1.0,0.054,0.054,1,1,1,3.044522437723423,0.0014389641942542824,18.51851851851852,18.51851851851852,0.026666666666666665,0.026666666666666665,0.026666666666666665,18.51851851851852,1.4285714285714286,0.04,0.0
ASAP7,BUFX8,BUFx8_ASAP7_6t_L,A,Y,rise,20.0,0.023039999999999998,0.7,25.0,32.629,1.0,0.54,0.54,0,1,1,3.044522437723423,0.02277858688933957,1.8518518518518516,1.8518518518518516,0.04266666666666666,0.04266666666666666,0.04266666666666666,1.8518518518518516,1.4285714285714286,0.04,0.0
ASAP7,OR4X1,OR4x1_ASAP7_6t_L,B,Y,rise,40.0,0.011519999999999999,0.7,25.0,73.0354,1.0,0.27,0.27,0,1,1,3.7135720667043075,0.011454150045115854,3.7037037037037033,3.7037037037037033,0.04266666666666666,0.04266666666666666,0.04266666666666666,3.7037037037037033,1.4285714285714286,0.04,0.0
ASAP7,OR3X1,OR3x1_ASAP7_6t_L,A,Y,rise,20.0,0.011519999999999999,0.7,25.0,69.8916,1.0,0.216,0.216,0,1,1,3.044522437723423,0.011454150045115854,4.62962962962963,4.62962962962963,0.05333333333333333,0.05333333333333333,0.05333333333333333,4.62962962962963,1.4285714285714286,0.04,0.0
ASAP7,OR4X2,OR4x2_ASAP7_6t_L,D,Y,fall,160.0,0.046079999999999996,0.7,25.0,156.045,1.3333333333333335,0.216,0.162,0,1,1,5.081404364984463,0.04504984455370874,4.62962962962963,6.172839506172839,0.21333333333333332,0.2844444444444444,0.2844444444444444,6.172839506172839,1.4285714285714286,0.04,0.14285714285714285
