tech,cell_type,cell_name,from_pin,to_pin,pol,slew,cap,voltage,temp,delay,wp_over_wn,wp_sum,wn_sum,is_inv,stack_pu,stack_pd,log_slew,log_cap,req_p,req_n,rc_p,rc_n,rc_eff,req_eff,inv_v,inv_temp,pn_balance,is_labeled
ASAP7,OR4X1,OR4x1_ASAP7_6t_L,A,Y,fall,20.0,0.0028799999999999997,0.7,25.0,43.3483,1.0,0.27,0.27,0,1,1,3.044522437723423,0.002875860745464264,3.7037037037037033,3.7037037037037033,0.010666666666666665,0.010666666666666665,0.010666666666666665,3.7037037037037033,1.4285714285714286,0.04,0.0,1
ASAP7,NAND3X2,NAND3x2_ASAP7_6t_L,C,Y,fall,10.0,0.023039999999999998,0.7,25.0,45.2311,0.33333333333333326,0.324,0.9720000000000002,0,1,1,2.3978952727983707,0.022778586889339574,3.0864197530864197,1.0288065843621397,0.0711111111111111,0.023703703703703696,0.023703703703703696,1.0288065843621397,1.4285714285714286,0.04,-0.5,1
ASAP7,OR4X1,OR4x1_ASAP7_6t_L,C,Y,rise,320.0,0.0028799999999999997,0.7,25.0,35.8356,1.0,0.27,0.27,0,1,1,5.771441123130016,0.002875860745464264,3.7037037037037033,3.7037037037037033,0.010666666666666665,0.010666666666666665,0.010666666666666665,3.7037037037037033,1.4285714285714286,0.04,0.0,1
ASAP7,AND4X2,AND4x2_ASAP7_6t_L,B,Y,fall,20.0,0.011519999999999999,0.7,25.0,42.1521,1.0,0.324,0.324,0,1,1,3.044522437723423,0.011454150045115854,3.0864197530864197,3.0864197530864197,0.03555555555555555,0.03555555555555555,0.03555555555555555,3.0864197530864197,1.4285714285714286,0.04,0.0,1
ASAP7,NAND3X1,NAND3x1_ASAP7_6t_L,B,Y,rise,80.0,0.046079999999999996,0.7,25.0,258.766,0.3333333333333333,0.162,0.486,0,1,1,4.394449154672439,0.04504984455370874,6.172839506172839,2.05761316872428,0.2844444444444444,0.09481481481481481,0.2844444444444444,6.172839506172839,1.4285714285714286,0.04,-0.4999999999999999,1
ASAP7,OR3X4,OR3x4_ASAP7_6t_L,C,Y,rise,40.0,0.046079999999999996,0.7,25.0,83.1311,1.0,0.37799999999999995,0.37799999999999995,0,1,1,3.713572066704308,0.04504984455370874,2.645502645502646,2.645502645502646,0.12190476190476192,0.12190476190476192,0.12190476190476192,2.645502645502646,1.4285714285714286,0.04,0.0,1
ASAP7,OR2X2,OR2x2_ASAP7_6t_L,B,Y,rise,160.0,0.046079999999999996,0.7,25.0,152.793,1.3333333333333335,0.216,0.162,0,1,1,5.081404364984463,0.04504984455370874,4.62962962962963,6.172839506172839,0.21333333333333332,0.2844444444444444,0.21333333333333332,4.62962962962963,1.4285714285714286,0.04,0.14285714285714285,1
ASAP7,BUFX8,BUFx8_ASAP7_6t_L,A,Y,rise,320.0,0.011519999999999999,0.7,25.0,45.566,1.0,0.54,0.54,0,1,1,5.771441123130016,0.011454150045115854,1.8518518518518516,1.8518518518518516,0.02133333333333333,0.02133333333333333,0.02133333333333333,1.8518518518518516,1.4285714285714286,0.04,0.0,1
ASAP7,OR3X4,OR3x4_ASAP7_6t_L,A,Y,fall,20.0,0.0057599999999999995,0.7,25.0,49.5716,1.0,0.37799999999999995,0.37799999999999995,0,1,1,3.044522437723423,0.005743474627065725,2.645502645502646,2.645502645502646,0.01523809523809524,0.01523809523809524,0.01523809523809524,2.645502645502646,1.4285714285714286,0.04,0.0,1
ASAP7,NAND2X2,NAND2x2_ASAP7_6t_L,A,Y,rise,320.0,0.023039999999999998,0.7,25.0,151.514,0.5000000000000001,0.216,0.43199999999999994,0,1,1,5.771441123130016,0.022778586889339574,4.62962962962963,2.3148148148148153,0.10666666666666666,0.053333333333333344,0.10666666666666666,4.62962962962963,1.4285714285714286,0.04,-0.3333333333333333,1
ASAP7,AND3X4,AND3x4_ASAP7_6t_L,B,Y,rise,5.0,0.0057599999999999995,0.7,25.0,28.9807,0.7,0.37799999999999995,0.54,0,1,1,1.791759469228055,0.005743474627065725,2.645502645502646,1.8518518518518516,0.01523809523809524,0.010666666666666665,0.01523809523809524,2.645502645502646,1.4285714285714286,0.04,-0.17647058823529424,1
ASAP7,AND3X4,AND3x4_ASAP7_6t_L,A,Y,rise,5.0,0.046079999999999996,0.7,25.0,78.8039,0.7,0.37799999999999995,0.54,0,1,1,1.791759469228055,0.04504984455370874,2.645502645502646,1.8518518518518516,0.12190476190476192,0.08533333333333332,0.12190476190476192,2.645502645502646,1.4285714285714286,0.04,-0.17647058823529424,1
ASAP7,INVX8,INVx8_ASAP7_6t_L,A,Y,fall,160.0,0.09215999999999999,0.7,25.0,91.6993,1.0,0.43199999999999994,0.43199999999999994,1,1,1,5.081404364984463,0.08815738673620516,2.3148148148148153,2.3148148148148153,0.21333333333333337,0.21333333333333337,0.21333333333333337,2.3148148148148153,1.4285714285714286,0.04,0.0,1
ASAP7,AND4X1,AND4x1_ASAP7_6t_L,C,Y,rise,80.0,0.023039999999999998,0.7,25.0,146.391,1.0,0.27,0.27,0,1,1,4.394449154672439,0.022778586889339574,3.7037037037037033,3.7037037037037033,0.08533333333333332,0.08533333333333332,0.08533333333333332,3.7037037037037033,1.4285714285714286,0.04,0.0,1
ASAP7,INVX4,INVx4_ASAP7_6t_L,A,Y,fall,5.0,0.09215999999999999,0.7,25.0,98.0816,1.0,0.216,0.216,1,1,1,1.791759469228055,0.08815738673620516,4.62962962962963,4.62962962962963,0.42666666666666664,0.42666666666666664,0.42666666666666664,4.62962962962963,1.4285714285714286,0.04,0.0,1
ASAP7,NAND2X1,NAND2x1_ASAP7_6t_L,B,Y,rise,160.0,0.011519999999999999,0.7,25.0,111.064,0.5,0.108,0.216,0,1,1,5.081404364984463,0.011454150045115854,9.25925925925926,4.62962962962963,0.10666666666666666,0.05333333333333333,0.10666666666666666,9.25925925925926,1.4285714285714286,0.04,-0.3333333333333333,1
ASAP7,AND3X2,AND3x2_ASAP7_6t_L,B,Y,rise,80.0,0.0014399999999999999,0.7,25.0,34.7688,1.0,0.27,0.27,0,1,1,4.394449154672439,0.0014389641942542826,3.7037037037037033,3.7037037037037033,0.005333333333333332,0.005333333333333332,0.005333333333333332,3.7037037037037033,1.4285714285714286,0.04,0.0,1
ASAP7,OR3X1,OR3x1_ASAP7_6t_L,A,Y,fall,40.0,0.011519999999999999,0.7,25.0,79.58,1.0,0.216,0.216,0,1,1,3.713572066704308,0.011454150045115854,4.62962962962963,4.62962962962963,0.05333333333333333,0.05333333333333333,0.05333333333333333,4.62962962962963,1.4285714285714286,0.04,0.0,1
ASAP7,BUFX2,BUFx2_ASAP7_6t_L,A,Y,fall,80.0,0.0057599999999999995,0.7,25.0,47.7439,1.0,0.135,0.135,0,1,1,4.394449154672439,0.005743474627065725,7.4074074074074066,7.4074074074074066,0.04266666666666666,0.04266666666666666,0.04266666666666666,7.4074074074074066,1.4285714285714286,0.04,0.0,1
ASAP7,AND4X1,AND4x1_ASAP7_6t_L,B,Y,fall,80.0,0.0057599999999999995,0.7,25.0,48.0615,1.0,0.27,0.27,0,1,1,4.394449154672439,0.005743474627065725,3.7037037037037033,3.7037037037037033,0.02133333333333333,0.02133333333333333,0.02133333333333333,3.7037037037037033,1.4285714285714286,0.04,0.0,1
ASAP7,NAND3X1,NAND3x1_ASAP7_6t_L,C,Y,fall,80.0,0.0007199999999999999,0.7,25.0,9.60304,0.3333333333333333,0.162,0.486,0,1,1,4.394449154672439,0.0007197409243488539,6.172839506172839,2.05761316872428,0.004444444444444444,0.0014814814814814814,0.0014814814814814814,2.05761316872428,1.4285714285714286,0.04,-0.4999999999999999,1
ASAP7,BUFX4,BUFx4_ASAP7_6t_L,A,Y,rise,5.0,0.023039999999999998,0.7,25.0,43.4382,1.0,0.27,0.27,0,1,1,1.791759469228055,0.022778586889339574,3.7037037037037033,3.7037037037037033,0.08533333333333332,0.08533333333333332,0.08533333333333332,3.7037037037037033,1.4285714285714286,0.04,0.0,1
ASAP7,OR2X4,OR2x4_ASAP7_6t_L,B,Y,rise,40.0,0.046079999999999996,0.7,25.0,80.2622,1.0,0.324,0.324,0,1,1,3.713572066704308,0.04504984455370874,3.0864197530864197,3.0864197530864197,0.1422222222222222,0.1422222222222222,0.1422222222222222,3.0864197530864197,1.4285714285714286,0.04,0.0,1
ASAP7,OR3X4,OR3x4_ASAP7_6t_L,B,Y,fall,5.0,0.18431999999999998,0.7,25.0,238.751,1.0,0.37799999999999995,0.37799999999999995,0,1,1,1.791759469228055,0.16916877021565407,2.645502645502646,2.645502645502646,0.4876190476190477,0.4876190476190477,0.4876190476190477,2.645502645502646,1.4285714285714286,0.04,0.0,1
ASAP7,AND4X2,AND4x2_ASAP7_6t_L,D,Y,rise,320.0,0.023039999999999998,0.7,25.0,105.492,1.0,0.324,0.324,0,1,1,5.771441123130016,0.022778586889339574,3.0864197530864197,3.0864197530864197,0.0711111111111111,0.0711111111111111,0.0711111111111111,3.0864197530864197,1.4285714285714286,0.04,0.0,1
ASAP7,OR3X2,OR3x2_ASAP7_6t_L,B,Y,fall,160.0,0.011519999999999999,0.7,25.0,80.8436,1.0,0.27,0.27,0,1,1,5.081404364984463,0.011454150045115854,3.7037037037037033,3.7037037037037033,0.04266666666666666,0.04266666666666666,0.04266666666666666,3.7037037037037033,1.4285714285714286,0.04,0.0,1
ASAP7,OR4X2,OR4x2_ASAP7_6t_L,B,Y,rise,40.0,0.09215999999999999,0.7,25.0,245.99,1.3333333333333335,0.216,0.162,0,1,1,3.713572066704308,0.08815738673620516,4.62962962962963,6.172839506172839,0.42666666666666664,0.5688888888888888,0.42666666666666664,4.62962962962963,1.4285714285714286,0.04,0.14285714285714285,1
ASAP7,OR3X4,OR3x4_ASAP7_6t_L,A,Y,rise,5.0,0.011519999999999999,0.7,25.0,30.9734,1.0,0.37799999999999995,0.37799999999999995,0,1,1,1.791759469228055,0.011454150045115854,2.645502645502646,2.645502645502646,0.03047619047619048,0.03047619047619048,0.03047619047619048,2.645502645502646,1.4285714285714286,0.04,0.0,1
ASAP7,OR4X2,OR4x2_ASAP7_6t_L,C,Y,fall,80.0,0.023039999999999998,0.7,25.0,101.272,1.3333333333333335,0.216,0.162,0,1,1,4.394449154672439,0.022778586889339574,4.62962962962963,6.172839506172839,0.10666666666666666,0.1422222222222222,0.1422222222222222,6.172839506172839,1.4285714285714286,0.04,0.14285714285714285,1
