tech,cell_type,cell_name,from_pin,to_pin,pol,slew,cap,voltage,temp,delay,wp_over_wn,wp_sum,wn_sum,is_inv,stack_pu,stack_pd,log_slew,log_cap,req_p,req_n,rc_p,rc_n,rc_eff,req_eff,inv_v,inv_temp,pn_balance,is_labeled
ASAP7,AND3X4,AND3x4_ASAP7_6t_L,C,Y,rise,160.0,0.046079999999999996,0.7,25.0,87.8009,0.7,0.37799999999999995,0.54,0,1,1,5.081404364984463,0.04504984455370874,2.645502645502646,1.8518518518518516,0.12190476190476192,0.08533333333333332,0.12190476190476192,2.645502645502646,1.4285714285714286,0.04,-0.17647058823529424,1
ASAP7,NOR3X2,NOR3x2_ASAP7_6t_L,B,Y,rise,40.0,0.0028799999999999997,0.7,25.0,19.7372,3.0000000000000004,0.9720000000000002,0.324,0,1,1,3.7135720667043075,0.002875860745464264,1.0288065843621397,3.0864197530864197,0.002962962962962962,0.008888888888888887,0.002962962962962962,1.0288065843621397,1.4285714285714286,0.04,0.5,1
ASAP7,INVX8,INVx8_ASAP7_6t_L,A,Y,fall,40.0,0.046079999999999996,0.7,25.0,37.2702,1.0,0.43199999999999994,0.43199999999999994,1,1,1,3.7135720667043075,0.04504984455370874,2.3148148148148153,2.3148148148148153,0.10666666666666669,0.10666666666666669,0.10666666666666669,2.3148148148148153,1.4285714285714286,0.04,0.0,1
ASAP7,OR3X4,OR3x4_ASAP7_6t_L,B,Y,fall,160.0,0.09215999999999999,0.7,25.0,172.023,1.0,0.37799999999999995,0.37799999999999995,0,1,1,5.081404364984463,0.08815738673620517,2.645502645502646,2.645502645502646,0.24380952380952384,0.24380952380952384,0.24380952380952384,2.645502645502646,1.4285714285714286,0.04,0.0,1
ASAP7,NAND3X1,NAND3x1_ASAP7_6t_L,A,Y,rise,160.0,0.023039999999999998,0.7,25.0,169.492,0.3333333333333333,0.162,0.486,0,1,1,5.081404364984463,0.02277858688933957,6.172839506172839,2.05761316872428,0.1422222222222222,0.047407407407407405,0.1422222222222222,6.172839506172839,1.4285714285714286,0.04,-0.4999999999999999,1
ASAP7,XOR2X2,XOR2x2_ASAP7_6t_L,A,Y,fall,40.0,0.0057599999999999995,0.7,25.0,38.3031,1.0,0.37799999999999995,0.37799999999999995,0,1,1,3.7135720667043075,0.005743474627065725,2.645502645502646,2.645502645502646,0.01523809523809524,0.01523809523809524,0.01523809523809524,2.645502645502646,1.4285714285714286,0.04,0.0,1
ASAP7,BUFX4,BUFx4_ASAP7_6t_L,A,Y,fall,5.0,0.0028799999999999997,0.7,25.0,18.4498,1.0,0.27,0.27,0,1,1,1.791759469228055,0.002875860745464264,3.7037037037037033,3.7037037037037033,0.010666666666666665,0.010666666666666665,0.010666666666666665,3.7037037037037033,1.4285714285714286,0.04,0.0,1
ASAP7,XOR2X2,XOR2x2_ASAP7_6t_L,A,Y,rise,160.0,0.0014399999999999999,0.7,25.0,40.9131,1.0,0.37799999999999995,0.37799999999999995,0,1,1,5.081404364984463,0.0014389641942542824,2.645502645502646,2.645502645502646,0.00380952380952381,0.00380952380952381,0.00380952380952381,2.645502645502646,1.4285714285714286,0.04,0.0,1
ASAP7,XOR2X2,XOR2x2_ASAP7_6t_L,B,Y,fall,80.0,0.0014399999999999999,0.7,25.0,28.8886,1.0,0.37799999999999995,0.37799999999999995,0,1,1,4.394449154672438,0.0014389641942542824,2.645502645502646,2.645502645502646,0.00380952380952381,0.00380952380952381,0.00380952380952381,2.645502645502646,1.4285714285714286,0.04,0.0,1
ASAP7,NAND3X1,NAND3x1_ASAP7_6t_L,C,Y,fall,80.0,0.0007199999999999999,0.7,25.0,9.60304,0.3333333333333333,0.162,0.486,0,1,1,4.394449154672438,0.0007197409243488539,6.172839506172839,2.05761316872428,0.004444444444444444,0.0014814814814814814,0.0014814814814814814,2.05761316872428,1.4285714285714286,0.04,-0.4999999999999999,1
