tech,cell_type,cell_name,from_pin,to_pin,pol,slew,cap,voltage,temp,delay,wp_over_wn,wp_sum,wn_sum,is_inv,stack_pu,stack_pd,log_slew,log_cap,req_p,req_n,rc_p,rc_n,rc_eff,req_eff,inv_v,inv_temp,pn_balance
Nangate45,INVX1,INV_X1,A,ZN,fall,4.7239700000000004,0.00036561600000000003,1.1,25.0,4.6109599999999995,1.5180722891566267,0.63,0.4149999999999999,1,1,1,1.7446626205903233,0.0003655491787570529,1.5873015873015872,2.409638554216868,0.0005803428571428572,0.0008810024096385545,0.0008810024096385545,2.409638554216868,0.9090909090909091,0.04,0.20574162679425848
Nangate45,XOR2X2,XOR2_X2,B,Z,rise,4.7239700000000004,0.0126266,1.1,25.0,53.297,1.518072289156627,5.04,3.319999999999999,0,1,1,1.7446626205903233,0.012547549219115436,0.1984126984126984,0.3012048192771085,0.0025052777777777777,0.0038031927710843383,0.0025052777777777777,0.1984126984126984,0.9090909090909091,0.04,0.2057416267942585
Nangate45,NOR2X1,NOR2_X1,A2,ZN,rise,4.7239700000000004,0.00036561600000000003,1.1,25.0,19.2451,1.5180722891566267,1.26,0.8299999999999998,0,1,1,1.7446626205903233,0.0003655491787570529,0.7936507936507936,1.204819277108434,0.0002901714285714286,0.00044050120481927725,0.0002901714285714286,0.7936507936507936,0.9090909090909091,0.04,0.20574162679425848
Nangate45,NOR2X1,NOR2_X1,A1,ZN,rise,17.1859,0.0016689300000000001,1.1,25.0,26.7281,1.5180722891566267,1.26,0.8299999999999998,0,1,1,2.900646568553312,0.001667538883896079,0.7936507936507936,1.204819277108434,0.001324547619047619,0.002010759036144579,0.001324547619047619,0.7936507936507936,0.9090909090909091,0.04,0.20574162679425848
Nangate45,NAND2X1,NAND2_X1,A2,ZN,fall,78.0596,0.0593567,1.1,25.0,156.31300000000002,1.5180722891566267,1.26,0.8299999999999998,0,1,1,4.370201998407221,0.05766183710119177,0.7936507936507936,1.204819277108434,0.04710849206349206,0.07151409638554218,0.07151409638554218,1.204819277108434,0.9090909090909091,0.04,0.20574162679425848
Nangate45,NOR2X1,NOR2_X1,A2,ZN,rise,1.1737799999999998,0.00036561600000000003,1.1,25.0,17.8889,1.5180722891566267,1.26,0.8299999999999998,0,1,1,0.7764675876261998,0.0003655491787570529,0.7936507936507936,1.204819277108434,0.0002901714285714286,0.00044050120481927725,0.0002901714285714286,0.7936507936507936,0.9090909090909091,0.04,0.20574162679425848
Nangate45,NOR2X1,NOR2_X1,A2,ZN,fall,17.1859,0.0016689300000000001,1.1,25.0,12.130099999999999,1.5180722891566267,1.26,0.8299999999999998,0,1,1,2.900646568553312,0.001667538883896079,0.7936507936507936,1.204819277108434,0.001324547619047619,0.002010759036144579,0.002010759036144579,1.204819277108434,0.9090909090909091,0.04,0.20574162679425848
Nangate45,XOR2X2,XOR2_X2,B,Z,rise,78.0596,0.00631332,1.1,25.0,65.396,1.518072289156627,5.04,3.319999999999999,0,1,1,4.370201998407221,0.006293474478908368,0.1984126984126984,0.3012048192771085,0.0012526428571428571,0.0019016024096385547,0.0012526428571428571,0.1984126984126984,0.9090909090909091,0.04,0.2057416267942585
Nangate45,XNOR2X2,XNOR2_X2,B,ZN,rise,40.9838,0.026016200000000003,1.1,25.0,102.28800000000001,1.518072289156627,5.04,3.319999999999999,0,1,1,3.737283829590765,0.025683536097609577,0.1984126984126984,0.3012048192771085,0.005161944444444445,0.00783620481927711,0.005161944444444445,0.1984126984126984,0.9090909090909091,0.04,0.2057416267942585
Nangate45,XOR2X2,XOR2_X2,B,Z,rise,198.535,0.0126266,1.1,25.0,82.74199999999999,1.518072289156627,5.04,3.319999999999999,0,1,1,5.295989659538859,0.012547549219115436,0.1984126984126984,0.3012048192771085,0.0025052777777777777,0.0038031927710843383,0.0025052777777777777,0.1984126984126984,0.9090909090909091,0.04,0.2057416267942585
Nangate45,NOR2X2,NOR2_X2,A1,ZN,rise,4.7239700000000004,0.0033378600000000002,1.1,25.0,21.1674,1.5180722891566267,2.52,1.6599999999999997,0,1,1,1.7446626205903233,0.0033323017104042833,0.3968253968253968,0.602409638554217,0.001324547619047619,0.002010759036144579,0.001324547619047619,0.3968253968253968,0.9090909090909091,0.04,0.20574162679425848
Nangate45,XOR2X2,XOR2_X2,A,Z,fall,198.535,0.0505066,1.1,25.0,120.828,1.518072289156627,5.04,3.319999999999999,0,1,1,5.295989659538859,0.04927252400569492,0.1984126984126984,0.3012048192771085,0.010021150793650792,0.01521283132530121,0.01521283132530121,0.3012048192771085,0.9090909090909091,0.04,0.2057416267942585
Nangate45,XOR2X2,XOR2_X2,A,Z,fall,130.081,0.0505066,1.1,25.0,107.741,1.518072289156627,5.04,3.319999999999999,0,1,1,4.875815452730412,0.04927252400569492,0.1984126984126984,0.3012048192771085,0.010021150793650792,0.01521283132530121,0.01521283132530121,0.3012048192771085,0.9090909090909091,0.04,0.2057416267942585
Nangate45,XOR2X2,XOR2_X2,B,Z,fall,1.1737799999999998,0.00036561600000000003,1.1,25.0,49.766,1.518072289156627,5.04,3.319999999999999,0,1,1,0.7764675876261998,0.0003655491787570529,0.1984126984126984,0.3012048192771085,7.254285714285715e-05,0.00011012530120481931,0.00011012530120481931,0.3012048192771085,0.9090909090909091,0.04,0.2057416267942585
