tech,cell_type,cell_name,from_pin,to_pin,pol,slew,cap,voltage,temp,delay,wp_over_wn,wp_sum,wn_sum,is_inv,stack_pu,stack_pd,log_slew,log_cap,req_p,req_n,rc_p,rc_n,rc_eff,req_eff,inv_v,inv_temp,pn_balance,is_labeled
ASAP7,INVX1,INVx13_ASAP7_6t_L,A,Y,fall,10.0,0.09215999999999999,0.7,25.0,35.3589,1.0,5.4e-08,5.4e-08,1,1,1,2.3978952727983707,0.08815738673620516,18518518.51851852,18518518.51851852,1706666.6666666665,1706666.6666666665,1706666.6666666665,18518518.51851852,1.4285714285714286,0.04,0.0,0
ASAP7,NANDX1,NAND2x1_ASAP7_6t_L,B,Y,fall,40.0,0.023039999999999998,0.7,25.0,92.8904,0.5,1.08e-07,2.16e-07,0,1,1,3.713572066704308,0.022778586889339574,9259259.25925926,4629629.62962963,213333.3333333333,106666.66666666666,106666.66666666666,4629629.62962963,1.4285714285714286,0.04,-0.33333333333333337,0
ASAP7,NORX1,NOR3x1f_ASAP7_6t_L,C,Y,rise,160.0,0.011519999999999999,0.7,25.0,189.089,2.0,2.16e-07,1.08e-07,0,1,1,5.081404364984463,0.011454150045115854,4629629.62962963,9259259.25925926,53333.33333333333,106666.66666666666,53333.33333333333,4629629.62962963,1.4285714285714286,0.04,0.33333333333333337,0
ASAP7,NANDX1,NAND3x1_ASAP7_6t_L,A,Y,fall,10.0,0.011519999999999999,0.7,25.0,43.6552,0.5,1.08e-07,2.16e-07,0,1,1,2.3978952727983707,0.011454150045115854,9259259.25925926,4629629.62962963,106666.66666666666,53333.33333333333,53333.33333333333,4629629.62962963,1.4285714285714286,0.04,-0.33333333333333337,0
ASAP7,NANDX1,NAND2x1_ASAP7_6t_L,A,Y,rise,20.0,0.0014399999999999999,0.7,25.0,18.5967,0.5,1.08e-07,2.16e-07,0,1,1,3.044522437723423,0.0014389641942542826,9259259.25925926,4629629.62962963,13333.333333333332,6666.666666666666,13333.333333333332,9259259.25925926,1.4285714285714286,0.04,-0.33333333333333337,0
ASAP7,NORX1,NOR5x1f_ASAP7_6t_L,E,Y,rise,80.0,0.011519999999999999,0.7,25.0,287.199,2.0,2.16e-07,1.08e-07,0,1,1,4.394449154672439,0.011454150045115854,4629629.62962963,9259259.25925926,53333.33333333333,106666.66666666666,53333.33333333333,4629629.62962963,1.4285714285714286,0.04,0.33333333333333337,0
ASAP7,NORX1,NOR5x1f_ASAP7_6t_L,D,Y,fall,40.0,0.0057599999999999995,0.7,25.0,39.4454,2.0,2.16e-07,1.08e-07,0,1,1,3.713572066704308,0.005743474627065725,4629629.62962963,9259259.25925926,26666.666666666664,53333.33333333333,53333.33333333333,9259259.25925926,1.4285714285714286,0.04,0.33333333333333337,0
ASAP7,NANDX1,NAND3x1_ASAP7_6t_L,B,Y,fall,5.0,0.0014399999999999999,0.7,25.0,10.3438,0.5,1.08e-07,2.16e-07,0,1,1,1.791759469228055,0.0014389641942542826,9259259.25925926,4629629.62962963,13333.333333333332,6666.666666666666,6666.666666666666,4629629.62962963,1.4285714285714286,0.04,-0.33333333333333337,0
ASAP7,INVX1,INVx11_ASAP7_6t_L,A,Y,fall,5.0,0.023039999999999998,0.7,25.0,12.2397,1.0,5.4e-08,5.4e-08,1,1,1,1.791759469228055,0.022778586889339574,18518518.51851852,18518518.51851852,426666.6666666666,426666.6666666666,426666.6666666666,18518518.51851852,1.4285714285714286,0.04,0.0,0
ASAP7,NORX1,NOR3x1f_ASAP7_6t_L,B,Y,fall,5.0,0.0014399999999999999,0.7,25.0,10.1271,2.0,2.16e-07,1.08e-07,0,1,1,1.791759469228055,0.0014389641942542826,4629629.62962963,9259259.25925926,6666.666666666666,13333.333333333332,13333.333333333332,9259259.25925926,1.4285714285714286,0.04,0.33333333333333337,0
ASAP7,NORX1,NOR2x1_ASAP7_6t_L,A,Y,rise,160.0,0.0007199999999999999,0.7,25.0,18.9766,2.0,2.16e-07,1.08e-07,0,1,1,5.081404364984463,0.0007197409243488539,4629629.62962963,9259259.25925926,3333.333333333333,6666.666666666666,3333.333333333333,4629629.62962963,1.4285714285714286,0.04,0.33333333333333337,0
ASAP7,NORX1,NOR3x1f_ASAP7_6t_L,C,Y,rise,80.0,0.0057599999999999995,0.7,25.0,98.8019,2.0,2.16e-07,1.08e-07,0,1,1,4.394449154672439,0.005743474627065725,4629629.62962963,9259259.25925926,26666.666666666664,53333.33333333333,26666.666666666664,4629629.62962963,1.4285714285714286,0.04,0.33333333333333337,0
ASAP7,NORX1,NOR3x1f_ASAP7_6t_L,B,Y,rise,40.0,0.0057599999999999995,0.7,25.0,95.1379,2.0,2.16e-07,1.08e-07,0,1,1,3.713572066704308,0.005743474627065725,4629629.62962963,9259259.25925926,26666.666666666664,53333.33333333333,26666.666666666664,4629629.62962963,1.4285714285714286,0.04,0.33333333333333337,0
ASAP7,NORX1,NOR3x1_ASAP7_6t_L,A,Y,fall,20.0,0.0007199999999999999,0.7,25.0,12.1223,2.0,2.16e-07,1.08e-07,0,1,1,3.044522437723423,0.0007197409243488539,4629629.62962963,9259259.25925926,3333.333333333333,6666.666666666666,6666.666666666666,9259259.25925926,1.4285714285714286,0.04,0.33333333333333337,0
ASAP7,NORX1,NOR5x1f_ASAP7_6t_L,D,Y,rise,5.0,0.0014399999999999999,0.7,25.0,53.9965,2.0,2.16e-07,1.08e-07,0,1,1,1.791759469228055,0.0014389641942542826,4629629.62962963,9259259.25925926,6666.666666666666,13333.333333333332,6666.666666666666,4629629.62962963,1.4285714285714286,0.04,0.33333333333333337,0
ASAP7,NORX1,NOR5x1f_ASAP7_6t_L,E,Y,rise,160.0,0.0057599999999999995,0.7,25.0,164.08,2.0,2.16e-07,1.08e-07,0,1,1,5.081404364984463,0.005743474627065725,4629629.62962963,9259259.25925926,26666.666666666664,53333.33333333333,26666.666666666664,4629629.62962963,1.4285714285714286,0.04,0.33333333333333337,0
ASAP7,NORX1,NOR2x1_ASAP7_6t_L,B,Y,rise,10.0,0.0057599999999999995,0.7,25.0,33.0564,2.0,2.16e-07,1.08e-07,0,1,1,2.3978952727983707,0.005743474627065725,4629629.62962963,9259259.25925926,26666.666666666664,53333.33333333333,26666.666666666664,4629629.62962963,1.4285714285714286,0.04,0.33333333333333337,0
ASAP7,NORX1,NOR5x1f_ASAP7_6t_L,C,Y,fall,10.0,0.023039999999999998,0.7,25.0,101.203,2.0,2.16e-07,1.08e-07,0,1,1,2.3978952727983707,0.022778586889339574,4629629.62962963,9259259.25925926,106666.66666666666,213333.3333333333,213333.3333333333,9259259.25925926,1.4285714285714286,0.04,0.33333333333333337,0
ASAP7,NANDX1,NAND2x1p5_ASAP7_6t_L,A,Y,rise,320.0,0.00035999999999999997,0.7,25.0,62.8106,0.5,1.08e-07,2.16e-07,0,1,1,5.771441123130016,0.00035993521554780213,9259259.25925926,4629629.62962963,3333.333333333333,1666.6666666666665,3333.333333333333,9259259.25925926,1.4285714285714286,0.04,-0.33333333333333337,0
ASAP7,NORX1,NOR3x1f_ASAP7_6t_L,B,Y,fall,80.0,0.0057599999999999995,0.7,25.0,47.8039,2.0,2.16e-07,1.08e-07,0,1,1,4.394449154672439,0.005743474627065725,4629629.62962963,9259259.25925926,26666.666666666664,53333.33333333333,53333.33333333333,9259259.25925926,1.4285714285714286,0.04,0.33333333333333337,0
ASAP7,NANDX1,NAND3x1_ASAP7_6t_L,A,Y,fall,5.0,0.011519999999999999,0.7,25.0,42.4689,0.5,1.08e-07,2.16e-07,0,1,1,1.791759469228055,0.011454150045115854,9259259.25925926,4629629.62962963,106666.66666666666,53333.33333333333,53333.33333333333,4629629.62962963,1.4285714285714286,0.04,-0.33333333333333337,0
ASAP7,NORX1,NOR3x1f_ASAP7_6t_L,A,Y,rise,160.0,0.00035999999999999997,0.7,25.0,39.3398,2.0,2.16e-07,1.08e-07,0,1,1,5.081404364984463,0.00035993521554780213,4629629.62962963,9259259.25925926,1666.6666666666665,3333.333333333333,1666.6666666666665,4629629.62962963,1.4285714285714286,0.04,0.33333333333333337,0
ASAP7,NANDX1,NAND2x1p5_ASAP7_6t_L,A,Y,rise,40.0,0.0007199999999999999,0.7,25.0,21.4386,0.5,1.08e-07,2.16e-07,0,1,1,3.713572066704308,0.0007197409243488539,9259259.25925926,4629629.62962963,6666.666666666666,3333.333333333333,6666.666666666666,9259259.25925926,1.4285714285714286,0.04,-0.33333333333333337,0
ASAP7,NORX1,NOR5x1f_ASAP7_6t_L,A,Y,fall,320.0,0.023039999999999998,0.7,25.0,181.415,2.0,2.16e-07,1.08e-07,0,1,1,5.771441123130016,0.022778586889339574,4629629.62962963,9259259.25925926,106666.66666666666,213333.3333333333,213333.3333333333,9259259.25925926,1.4285714285714286,0.04,0.33333333333333337,0
ASAP7,INVX1,INVx1_ASAP7_6t_L,A,Y,rise,40.0,0.0057599999999999995,0.7,25.0,42.9377,1.0,5.4e-08,5.4e-08,1,1,1,3.713572066704308,0.005743474627065725,18518518.51851852,18518518.51851852,106666.66666666666,106666.66666666666,106666.66666666666,18518518.51851852,1.4285714285714286,0.04,0.0,0
ASAP7,NORX1,NOR5x1f_ASAP7_6t_L,B,Y,fall,80.0,0.0014399999999999999,0.7,25.0,22.7944,2.0,2.16e-07,1.08e-07,0,1,1,4.394449154672439,0.0014389641942542826,4629629.62962963,9259259.25925926,6666.666666666666,13333.333333333332,13333.333333333332,9259259.25925926,1.4285714285714286,0.04,0.33333333333333337,0
