tech,pol,slew,cap,voltage,temp,delay,wp_over_wn,wp_sum,wn_sum,is_inv,stack_pu,stack_pd
ASAP7,fall,92.97045454545454,8.967272727272729,0.7,25.0,53.87700698337423,1.0,5.4e-08,5.4e-08,1,1,1
ASAP7,rise,92.97045454545454,33.70909090909091,0.7,25.0,209.9006283348399,1.0,5.4e-08,5.4e-08,1,1,1
ASAP7,rise,163.34681818181818,0.72,0.7,25.0,18.706865692613636,1.0,5.4e-08,5.4e-08,1,1,1
ASAP7,rise,57.782272727272726,4.843636363636364,0.7,25.0,36.460924850723146,1.0,5.4e-08,5.4e-08,1,1,1
ASAP7,rise,22.59409090909091,17.214545454545455,0.7,25.0,106.20103869879907,1.0,5.4e-08,5.4e-08,1,1,1
ASAP7,fall,92.97045454545454,37.832727272727276,0.7,25.0,193.7758106195119,1.0,5.4e-08,5.4e-08,1,1,1
ASAP7,fall,180.9409090909091,41.95636363636364,0.7,25.0,221.58746359818895,1.0,5.4e-08,5.4e-08,1,1,1
ASAP7,fall,163.34681818181818,33.70909090909091,0.7,25.0,180.0984746423118,1.0,5.4e-08,5.4e-08,1,1,1
ASAP7,rise,92.97045454545454,29.585454545454546,0.7,25.0,185.60939003357439,1.0,5.4e-08,5.4e-08,1,1,1
ASAP7,rise,110.56454545454545,41.95636363636364,0.7,25.0,260.06887734529965,1.0,5.4e-08,5.4e-08,1,1,1
ASAP7,rise,163.34681818181818,41.95636363636364,0.7,25.0,264.8387055601918,1.0,5.4e-08,5.4e-08,1,1,1
ASAP7,fall,92.97045454545454,21.33818181818182,0.7,25.0,113.78885886334584,1.0,5.4e-08,5.4e-08,1,1,1
ASAP7,rise,163.34681818181818,4.843636363636364,0.7,25.0,46.569845497094526,1.0,5.4e-08,5.4e-08,1,1,1
ASAP7,fall,92.97045454545454,0.72,0.7,25.0,12.620145082386365,1.0,5.4e-08,5.4e-08,1,1,1
ASAP7,rise,128.15863636363636,25.46181818181818,0.7,25.0,164.63832662977788,1.0,5.4e-08,5.4e-08,1,1,1
ASAP7,rise,22.59409090909091,25.46181818181818,0.7,25.0,154.86126946138947,1.0,5.4e-08,5.4e-08,1,1,1
ASAP7,fall,128.15863636363636,17.214545454545455,0.7,25.0,96.97767150407088,1.0,5.4e-08,5.4e-08,1,1,1
ASAP7,rise,128.15863636363636,8.967272727272729,0.7,25.0,67.48211265523632,1.0,5.4e-08,5.4e-08,1,1,1
ASAP7,fall,110.56454545454545,29.585454545454546,0.7,25.0,155.36998356637397,1.0,5.4e-08,5.4e-08,1,1,1
ASAP7,fall,145.75272727272727,17.214545454545455,0.7,25.0,98.56444470087811,1.0,5.4e-08,5.4e-08,1,1,1
ASAP7,rise,163.34681818181818,17.214545454545455,0.7,25.0,119.36123034208744,1.0,5.4e-08,5.4e-08,1,1,1
ASAP7,fall,198.535,37.832727272727276,0.7,25.0,203.21165092666905,1.0,5.4e-08,5.4e-08,1,1,1
ASAP7,fall,57.782272727272726,25.46181818181818,0.7,25.0,130.7196483791968,1.0,5.4e-08,5.4e-08,1,1,1
ASAP7,rise,75.37636363636364,29.585454545454546,0.7,25.0,183.9760725371901,1.0,5.4e-08,5.4e-08,1,1,1
ASAP7,rise,180.9409090909091,17.214545454545455,0.7,25.0,121.03275082596204,1.0,5.4e-08,5.4e-08,1,1,1
ASAP7,fall,128.15863636363636,0.72,0.7,25.0,14.36930561534091,1.0,5.4e-08,5.4e-08,1,1,1
ASAP7,rise,57.782272727272726,8.967272727272729,0.7,25.0,60.8170080024406,1.0,5.4e-08,5.4e-08,1,1,1
ASAP7,fall,40.18818181818182,29.585454545454546,0.7,25.0,149.2761990552686,1.0,5.4e-08,5.4e-08,1,1,1
ASAP7,rise,163.34681818181818,46.08,0.7,25.0,289.05924530965916,1.0,5.4e-08,5.4e-08,1,1,1
ASAP7,rise,75.37636363636364,37.832727272727276,0.7,25.0,232.59190004132236,1.0,5.4e-08,5.4e-08,1,1,1
ASAP7,rise,163.34681818181818,25.46181818181818,0.7,25.0,167.95654656232244,1.0,5.4e-08,5.4e-08,1,1,1
ASAP7,fall,198.535,0.72,0.7,25.0,17.169806,1.0,5.4e-08,5.4e-08,1,1,1
ASAP7,fall,180.9409090909091,33.70909090909091,0.7,25.0,181.68062670365768,1.0,5.4e-08,5.4e-08,1,1,1
ASAP7,fall,128.15863636363636,41.95636363636364,0.7,25.0,216.89287455297654,1.0,5.4e-08,5.4e-08,1,1,1
ASAP7,rise,40.18818181818182,29.585454545454546,0.7,25.0,180.75539422314048,1.0,5.4e-08,5.4e-08,1,1,1
ASAP7,fall,180.9409090909091,8.967272727272729,0.7,25.0,61.79212440996256,1.0,5.4e-08,5.4e-08,1,1,1
ASAP7,rise,110.56454545454545,25.46181818181818,0.7,25.0,162.9782391810434,1.0,5.4e-08,5.4e-08,1,1,1
ASAP7,fall,75.37636363636364,46.08,0.7,25.0,232.26218972727273,1.0,5.4e-08,5.4e-08,1,1,1
ASAP7,fall,40.18818181818182,37.832727272727276,0.7,25.0,189.3695844594525,1.0,5.4e-08,5.4e-08,1,1,1
ASAP7,fall,110.56454545454545,37.832727272727276,0.7,25.0,195.34559589682337,1.0,5.4e-08,5.4e-08,1,1,1
ASAP7,fall,163.34681818181818,37.832727272727276,0.7,25.0,200.05643937517758,1.0,5.4e-08,5.4e-08,1,1,1
ASAP7,rise,145.75272727272727,0.72,0.7,25.0,17.706341409090907,1.0,5.4e-08,5.4e-08,1,1,1
ASAP7,fall,180.9409090909091,4.843636363636364,0.7,25.0,41.67892432166838,1.0,5.4e-08,5.4e-08,1,1,1
ASAP7,rise,180.9409090909091,21.33818181818182,0.7,25.0,145.34692147501292,1.0,5.4e-08,5.4e-08,1,1,1
ASAP7,fall,75.37636363636364,0.72,0.7,25.0,11.645378707272727,1.0,5.4e-08,5.4e-08,1,1,1
ASAP7,rise,180.9409090909091,25.46181818181818,0.7,25.0,169.60635683771307,1.0,5.4e-08,5.4e-08,1,1,1
ASAP7,fall,40.18818181818182,33.70909090909091,0.7,25.0,169.32289175736057,1.0,5.4e-08,5.4e-08,1,1,1
ASAP7,rise,92.97045454545454,37.832727272727276,0.7,25.0,234.1918666361054,1.0,5.4e-08,5.4e-08,1,1,1
ASAP7,fall,180.9409090909091,29.585454545454546,0.7,25.0,161.72720825639206,1.0,5.4e-08,5.4e-08,1,1,1
ASAP7,rise,5.0,8.967272727272729,0.7,25.0,62.27272727272728,1.0,5.4e-08,5.4e-08,1,1,1
ASAP7,rise,145.75272727272727,33.70909090909091,0.7,25.0,214.76941811983474,1.0,5.4e-08,5.4e-08,1,1,1
ASAP7,rise,110.56454545454545,17.214545454545455,0.7,25.0,114.39747575754778,1.0,5.4e-08,5.4e-08,1,1,1
ASAP7,rise,163.34681818181818,29.585454545454546,0.7,25.0,192.1770863117898,1.0,5.4e-08,5.4e-08,1,1,1
ASAP7,fall,22.59409090909091,33.70909090909091,0.7,25.0,167.79616680462297,1.0,5.4e-08,5.4e-08,1,1,1
ASAP7,rise,198.535,29.585454545454546,0.7,25.0,195.47757282173296,1.0,5.4e-08,5.4e-08,1,1,1
ASAP7,fall,22.59409090909091,13.090909090909092,0.7,25.0,67.73100361353306,1.0,5.4e-08,5.4e-08,1,1,1
ASAP7,rise,180.9409090909091,0.72,0.7,25.0,19.43950563068182,1.0,5.4e-08,5.4e-08,1,1,1
ASAP7,fall,110.56454545454545,21.33818181818182,0.7,25.0,115.38979442862863,1.0,5.4e-08,5.4e-08,1,1,1
ASAP7,fall,145.75272727272727,8.967272727272729,0.7,25.0,58.62008723873968,1.0,5.4e-08,5.4e-08,1,1,1
ASAP7,rise,180.9409090909091,29.585454545454546,0.7,25.0,193.8273295667614,1.0,5.4e-08,5.4e-08,1,1,1
ASAP7,rise,110.56454545454545,8.967272727272729,0.7,25.0,65.82126871057594,1.0,5.4e-08,5.4e-08,1,1,1
ASAP7,rise,40.18818181818182,21.33818181818182,0.7,25.0,132.09836532298556,1.0,5.4e-08,5.4e-08,1,1,1
ASAP7,fall,163.34681818181818,29.585454545454546,0.7,25.0,160.14050990944602,1.0,5.4e-08,5.4e-08,1,1,1
ASAP7,fall,110.56454545454545,8.967272727272729,0.7,25.0,55.45803373516271,1.0,5.4e-08,5.4e-08,1,1,1
ASAP7,rise,145.75272727272727,46.08,0.7,25.0,287.4759241818182,1.0,5.4e-08,5.4e-08,1,1,1
ASAP7,rise,198.535,21.33818181818182,0.7,25.0,147.00289405575285,1.0,5.4e-08,5.4e-08,1,1,1
ASAP7,fall,5.0,17.214545454545455,0.7,25.0,119.54545454545455,1.0,5.4e-08,5.4e-08,1,1,1
ASAP7,fall,110.56454545454545,46.08,0.7,25.0,235.32120822727273,1.0,5.4e-08,5.4e-08,1,1,1
ASAP7,fall,40.18818181818182,8.967272727272729,0.7,25.0,49.21700053344525,1.0,5.4e-08,5.4e-08,1,1,1
ASAP7,fall,75.37636363636364,17.214545454545455,0.7,25.0,92.23588327086776,1.0,5.4e-08,5.4e-08,1,1,1
ASAP7,rise,92.97045454545454,21.33818181818182,0.7,25.0,137.02935635624357,1.0,5.4e-08,5.4e-08,1,1,1
ASAP7,fall,40.18818181818182,41.95636363636364,0.7,25.0,209.41627716154443,1.0,5.4e-08,5.4e-08,1,1,1
ASAP7,rise,128.15863636363636,4.843636363636364,0.7,25.0,43.187424207592976,1.0,5.4e-08,5.4e-08,1,1,1
ASAP7,fall,75.37636363636364,4.843636363636364,0.7,25.0,32.360626419214874,1.0,5.4e-08,5.4e-08,1,1,1
ASAP7,rise,22.59409090909091,0.72,0.7,25.0,8.799045462727273,1.0,5.4e-08,5.4e-08,1,1,1
ASAP7,rise,40.18818181818182,46.08,0.7,25.0,278.07773877272723,1.0,5.4e-08,5.4e-08,1,1,1
ASAP7,rise,40.18818181818182,17.214545454545455,0.7,25.0,107.77781890105888,1.0,5.4e-08,5.4e-08,1,1,1
ASAP7,rise,198.535,41.95636363636364,0.7,25.0,268.14178994762074,1.0,5.4e-08,5.4e-08,1,1,1
ASAP7,fall,128.15863636363636,4.843636363636364,0.7,25.0,37.11433803667356,1.0,5.4e-08,5.4e-08,1,1,1
ASAP7,fall,5.0,33.70909090909091,0.7,25.0,234.09090909090912,1.0,5.4e-08,5.4e-08,1,1,1
ASAP7,rise,75.37636363636364,13.090909090909092,0.7,25.0,86.80860291280993,1.0,5.4e-08,5.4e-08,1,1,1
ASAP7,rise,128.15863636363636,46.08,0.7,25.0,285.9087305340909,1.0,5.4e-08,5.4e-08,1,1,1
ASAP7,fall,198.535,29.585454545454546,0.7,25.0,163.31390660333807,1.0,5.4e-08,5.4e-08,1,1,1
